Year,Team,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,AGEHEIGHT,Place,MaxRounds,Perf,PerfPer
1998,Austria,29.09090909,29.5,13,1.824545455,1.83,22,22,53.985,5,5,0,0
1998,Belgium,29.45454545,29.5,17,1.822727273,1.83,22,22,53.985,5,5,0,0
1998,Brazil,27.36363636,27,14,1.806363636,1.78,22,22,48.06,1,5,4,0.8
1998,Bulgaria,27.63636364,28,13,1.811818182,1.815,22,22,50.82,5,5,0,0
1998,Cameroon,23.31818182,23,18,1.817272727,1.8,22,22,41.4,5,5,0,0
1998,Chile,26.40909091,27,13,1.761363636,1.75,22,22,47.25,4,5,1,0.2
1998,Colombia,27.5,27.5,16,1.787272727,1.78,22,22,48.95,5,5,0,0
1998,Croatia,27.54545455,28.5,17,1.836363636,1.83,22,22,52.155,2,5,3,0.6
1998,Denmark,28.77272727,28,11,1.829545455,1.83,22,22,51.24,3,5,2,0.4
1998,England,27.59090909,29.5,16,1.825909091,1.83,22,22,53.985,4,5,1,0.2
1998,France,26.77272727,27,14,1.828181818,1.83,22,22,49.41,0,5,5,1
1998,Germany,29.81818182,30.5,13,1.821818182,1.84,22,22,56.12,3,5,2,0.4
1998,Holland,26.54545455,27,11,1.830909091,1.83,22,22,49.41,2,5,3,0.6
1998,Iran,26.59090909,26.5,14,1.802727273,1.8,22,22,47.7,5,5,0,0
1998,Italy,27.04545455,27,14,1.809545455,1.8,22,22,48.6,3,5,2,0.4
1998,Jamaica,26.13636364,26,15,1.801363636,1.79,22,22,46.54,5,5,0,0
1998,Japan,25.40909091,25,14,1.777272727,1.78,22,22,44.5,5,5,0,0
1998,Mexico,26.81818182,25,15,1.758181818,1.75,22,22,43.75,4,5,1,0.2
1998,Morocco,26.31818182,26,13,1.798636364,1.8,22,22,46.8,5,5,0,0
1998,Nigeria,26.04545455,24.5,15,1.814545455,1.8,22,22,44.1,4,5,1,0.2
1998,Norway,27.68181818,28,14,1.847272727,1.865,22,22,52.22,4,5,1,0.2
1998,Paraguay,26.13636364,27,12,1.792272727,1.78,22,22,48.06,4,5,1,0.2
1998,Romania,27.90909091,28.5,11,1.806363636,1.805,22,22,51.4425,4,5,1,0.2
1998,Saudi Arabia,25.13636364,24,13,1.78,1.78,22,22,42.72,5,5,0,0
1998,Scotland,29.31818182,29,15,1.800909091,1.8,22,22,52.2,5,5,0,0
1998,South Africa,26.09090909,26,17,1.816190476,1.8,22,21,46.8,5,5,0,0
1998,South Korea,25.5,26,13,1.805909091,1.83,22,22,47.58,5,5,0,0
1998,Spain,26.68181818,27,16,1.812272727,1.8,22,22,48.6,5,5,0,0
1998,Tunisia,25.54545455,25,15,1.798181818,1.78,22,22,44.5,5,5,0,0
1998,USA,28.36363636,28,12,1.812727273,1.815,22,22,50.82,5,5,0,0
1998,Yugoslavia,27.68181818,28.5,14,1.833636364,1.83,22,22,52.155,4,5,1,0.2
2002,Argentina,28.43478261,28,11,1.784782609,1.78,23,23,49.84,5,5,0,0
2002,Belgium,28.73913043,29,13,1.834347826,1.83,23,23,53.07,4,5,1,0.2
2002,Brazil,26.13043478,26,11,1.813913043,1.83,23,23,47.58,0,5,5,1
2002,Cameroon,25.2173913,25,20,1.804347826,1.8,23,23,45,5,5,0,0
2002,China,25.82608696,26,14,1.831304348,1.83,23,23,47.58,5,5,0,0
2002,Costa Rica,27,27,16,1.778181818,1.75,23,22,47.25,5,5,0,0
2002,Croatia,27.52173913,27,13,1.837391304,1.83,23,23,49.41,5,5,0,0
2002,Denmark,27.34782609,25,17,1.820869565,1.83,23,23,45.75,4,5,1,0.2
2002,Ecuador,27.26086957,27,13,1.79,1.78,23,23,48.06,5,5,0,0
2002,England,26.7826087,27,18,1.812173913,1.8,23,23,48.6,3,5,2,0.4
2002,France,28.17391304,29,14,1.823478261,1.83,23,23,53.07,5,5,0,0
2002,Germany,27.73913043,28,12,1.850434783,1.88,23,23,52.64,1,5,4,0.8
2002,Italy,27.52173913,28,12,1.824782609,1.8,23,23,50.4,4,5,1,0.2
2002,Japan,25.34782609,25,12,1.786086957,1.8,23,23,45,4,5,1,0.2
2002,Mexico,28.47826087,28,12,1.765217391,1.75,23,23,49,4,5,1,0.2
2002,Nigeria,23.43478261,22,17,1.823913043,1.83,23,23,40.26,5,5,0,0
2002,Paraguay,27.43478261,28,16,1.787391304,1.78,23,23,49.84,4,5,1,0.2
2002,Poland,28.2173913,28,11,1.83173913,1.83,23,23,51.24,5,5,0,0
2002,Portugal,27.7826087,29,14,1.806086957,1.8,23,23,52.2,5,5,0,0
2002,Republic of Ireland,26.82608696,27,15,1.807391304,1.8,23,23,48.6,4,5,1,0.2
2002,Russia,27.26086957,27,21,1.82,1.83,23,23,49.41,5,5,0,0
2002,Saudi Arabia,25.69565217,26,9,1.783478261,1.78,23,23,46.28,5,5,0,0
2002,Senegal,24.91304348,24,17,1.813043478,1.83,23,23,43.92,3,5,2,0.4
2002,Slovenia,27.30434783,27,13,1.832173913,1.83,23,23,49.41,5,5,0,0
2002,South Africa,26.26086957,26,14,1.807826087,1.8,23,23,46.8,5,5,0,0
2002,South Korea,26.56521739,26,13,1.796086957,1.8,23,23,46.8,2,5,3,0.6
2002,Spain,26.56521739,26,15,1.812173913,1.8,23,23,46.8,3,5,2,0.4
2002,Sweden,26.60869565,28,11,1.833913043,1.8,23,23,50.4,4,5,1,0.2
2002,Tunisia,26.69565217,26,16,1.793913043,1.78,23,23,46.28,5,5,0,0
2002,Turkey,27.52173913,28,12,1.789565217,1.8,23,23,50.4,2,5,3,0.6
2002,USA,28.43478261,29,14,1.783478261,1.78,23,23,51.62,3,5,2,0.4
2002,Uruguay,25.30434783,25,10,1.814782609,1.8,23,23,45,5,5,0,0
2006,Angola,26.2173913,26,14,1.792173913,1.78,23,23,46.28,5,5,0,0
2006,Argentina,26.08695652,25,15,1.791304348,1.78,23,23,44.5,3,5,2,0.4
2006,Australia,27.95652174,27,12,1.843478261,1.83,23,23,49.41,4,5,1,0.2
2006,Brazil,28.34782609,29,13,1.812173913,1.83,23,23,53.07,3,5,2,0.4
2006,Costa Rica,27.34782609,28,14,1.798695652,1.8,23,23,50.4,5,5,0,0
2006,Cote D'Ivoire,25.39130435,25,12,1.796086957,1.8,23,23,45,5,5,0,0
2006,Croatia,27.43478261,27,14,1.842173913,1.83,23,23,49.41,5,5,0,0
2006,Czech Republic,28.56521739,28,10,1.844347826,1.83,23,23,51.24,5,5,0,0
2006,Ecuador,26.39130435,26,14,1.789565217,1.78,23,23,46.28,4,5,1,0.2
2006,England,25.39130435,25,19,1.822608696,1.83,23,23,45.75,3,5,2,0.4
2006,France,28.47826087,28,11,1.809130435,1.8,23,23,50.4,1,5,4,0.8
2006,Germany,26.52173913,26,15,1.836086957,1.83,23,23,47.58,2,5,3,0.6
2006,Ghana,24.69565217,24,10,1.803333333,1.78,23,21,42.72,4,5,1,0.2
2006,Holland,26.52173913,26,16,1.837826087,1.83,23,23,47.58,4,5,1,0.2
2006,Iran,26.43478261,27,17,1.802173913,1.8,23,23,48.6,5,5,0,0
2006,Italy,28.34782609,29,14,1.83,1.83,23,23,53.07,0,5,5,1
2006,Japan,27.17391304,27,8,1.784347826,1.78,23,23,48.06,5,5,0,0
2006,Mexico,27.34782609,27,18,1.75173913,1.75,23,23,47.25,4,5,1,0.2
2006,Paraguay,26.69565217,26,16,1.790434783,1.78,23,23,46.28,5,5,0,0
2006,Poland,26.60869565,27,12,1.834347826,1.83,23,23,49.41,5,5,0,0
2006,Portugal,28.04347826,28,13,1.798695652,1.8,23,23,50.4,2,5,3,0.6
2006,Saudi Arabia,26.43478261,26,13,1.780434783,1.78,23,23,46.28,5,5,0,0
2006,Serbia & Montenegro,27.82608696,27,13,1.853913043,1.85,23,23,49.95,5,5,0,0
2006,South Korea,25.95652174,26,15,1.807826087,1.83,23,23,47.58,5,5,0,0
2006,Spain,25.86956522,25,17,1.79826087,1.8,23,23,45,4,5,1,0.2
2006,Sweden,27.60869565,27,12,1.838695652,1.83,23,23,49.41,4,5,1,0.2
2006,Switzerland,25.13043478,26,15,1.830434783,1.83,23,23,47.58,4,5,1,0.2
2006,Togo,24.91304348,25,14,1.815454545,1.83,23,22,45.75,5,5,0,0
2006,Trinidad & Tobago,29.08695652,29,16,1.818695652,1.8,23,23,52.2,5,5,0,0
2006,Tunisia,26.91304348,27,20,1.816521739,1.83,23,23,49.41,5,5,0,0
2006,USA,28.17391304,28,14,1.81,1.83,23,23,51.24,5,5,0,0
2006,Ukraine,26,27,14,1.821304348,1.83,23,23,49.41,3,5,2,0.4
2010,Algeria,26.30434783,26,14,1.81826087,1.83,23,23,47.58,5,5,0,0
2010,Argentina,27.04347826,28,16,1.812173913,1.82,23,23,50.96,3,5,2,0.4
2010,Australia,28.56521739,29,15,1.832608696,1.82,23,23,52.78,5,5,0,0
2010,Brazil,28.69565217,29,11,1.821304348,1.83,23,23,53.07,3,5,2,0.4
2010,Cameroon,25.08695652,24,18,1.83,1.83,23,23,43.92,5,5,0,0
2010,Chile,26.08695652,27,10,1.767391304,1.77,23,23,47.79,4,5,1,0.2
2010,Cote D'Ivoire,26.65217391,27,9,1.816086957,1.8,23,23,48.6,5,5,0,0
2010,Denmark,27.7826087,29,17,1.843043478,1.83,23,23,53.07,5,5,0,0
2010,England,28.43478261,29,17,1.820869565,1.83,23,23,53.07,4,5,1,0.2
2010,France,27.39130435,28,9,1.82173913,1.83,23,23,51.24,5,5,0,0
2010,Germany,25.04347826,25,16,1.849130435,1.86,23,23,46.5,2,5,3,0.6
2010,Ghana,23.91304348,23,14,1.807391304,1.79,23,23,41.17,3,5,2,0.4
2010,Greece,27.47826087,28,16,1.849565217,1.85,23,23,51.8,5,5,0,0
2010,Holland,27.52173913,26,17,1.810869565,1.81,23,23,47.06,1,5,4,0.8
2010,Honduras,27.86956522,28,13,1.790434783,1.8,23,23,50.4,5,5,0,0
2010,Italy,28.2173913,27,13,1.817391304,1.82,23,23,49.14,5,5,0,0
2010,Japan,27.69565217,28,13,1.787391304,1.78,23,23,49.84,4,5,1,0.2
2010,Mexico,27.08695652,28,17,1.76826087,1.76,23,23,49.28,4,5,1,0.2
2010,New Zealand,27.34782609,28,17,1.837826087,1.83,23,23,51.24,5,5,0,0
2010,Nigeria,25.86956522,26,14,1.833913043,1.83,23,23,47.58,5,5,0,0
2010,North Korea,24.86956522,25,13,1.779565217,1.78,23,23,44.5,5,5,0,0
2010,Paraguay,28.47826087,28,13,1.811304348,1.81,23,23,50.68,3,5,2,0.4
2010,Portugal,27.73913043,28,11,1.817391304,1.8,23,23,50.4,4,5,1,0.2
2010,Serbia,25.95652174,26,11,1.862608696,1.86,23,23,48.36,5,5,0,0
2010,Slovakia,26.13043478,26,13,1.843043478,1.86,23,23,48.36,4,5,1,0.2
2010,Slovenia,26.7826087,26,12,1.853043478,1.86,23,23,48.36,5,5,0,0
2010,South Africa,26.73913043,26,11,1.78826087,1.78,23,23,46.28,5,5,0,0
2010,South Korea,27.2173913,27,16,1.822173913,1.82,23,23,49.14,4,5,1,0.2
2010,Spain,25.95652174,25,11,1.807826087,1.83,23,23,45.75,0,5,5,1
2010,Switzerland,26.60869565,26,17,1.832608696,1.83,23,23,47.58,5,5,0,0
2010,USA,26.95652174,26,16,1.810434783,1.82,23,23,47.32,4,5,1,0.2
2010,Uruguay,26.56521739,25,14,1.804347826,1.81,23,23,45.25,2,5,3,0.6
2014,Algeria,26.13043478,26,12,1.82826087,1.84,23,23,47.84,4,5,1,0.2
2014,Argentina,28.34782609,28,9,1.815652174,1.8,23,23,50.4,1,5,4,0.8
2014,Australia,25.69565217,25,14,1.814782609,1.8,23,23,45,5,5,0,0
